Sample ID,Community,pH,Temp,EC,TDS,Na+,K+,Mg2+,Ca2+,Cl-,SO42-,HCO3-,NO3-,F-
,,7.18,26.34,740.08,198.09,11.30,67.07,51.10,11.00,1.80,38.34,356.94,57.27,15.82
,,7.50,27.05,565.95,349.55,9.50,16.50,56.24,4.85,3.46,16.66,335.95,91.12,17.04
,,8.76,25.57,382.89,215.82,0.84,86.59,10.07,28.84,4.40,29.12,285.16,18.00,6.01
,,8.81,27.59,469.53,225.03,8.94,74.55,49.73,3.08,2.30,25.03,186.67,21.41,18.42
,,8.35,25.85,668.98,359.67,7.54,112.12,34.28,21.63,8.68,7.89,206.41,77.33,10.54
,,7.56,25.75,316.36,381.76,6.13,71.65,30.92,30.85,4.42,40.73,323.63,27.83,6.61
,,7.06,27.01,741.18,234.30,4.73,82.16,54.10,23.58,0.81,41.14,171.20,63.63,17.40
,,9.52,27.64,790.38,298.56,1.41,98.67,51.20,39.43,3.11,2.25,213.18,66.11,8.74
,,6.78,26.53,691.21,214.50,0.39,9.34,67.92,29.78,9.58,33.87,339.06,76.85,10.47
,,8.19,27.77,759.27,193.58,8.31,17.26,32.51,28.13,9.79,9.83,370.88,56.68,0.52
,,7.00,29.23,270.78,349.32,9.09,110.70,17.98,11.42,4.96,37.05,321.72,20.83,11.38
,,8.21,29.36,559.37,208.47,2.26,71.70,6.79,30.23,9.30,17.08,381.54,22.07,18.32
,,9.05,26.59,714.41,341.94,9.58,92.32,31.78,7.30,12.11,3.10,389.64,24.85,8.66
,,7.65,27.46,776.32,273.61,2.47,101.39,0.83,6.03,7.97,27.93,239.04,70.70,12.43
,,8.97,29.05,354.67,233.43,7.69,53.81,60.77,37.71,6.64,12.65,136.15,45.39,1.75
,,9.10,26.30,729.20,303.80,11.36,16.53,27.58,26.33,9.17,12.99,345.81,31.67,3.03
,,9.32,28.99,332.19,392.69,1.46,42.39,48.37,12.38,9.24,29.90,261.06,90.80,4.85
,,8.37,25.81,785.93,288.84,1.03,75.92,7.07,10.51,8.90,15.70,81.33,52.92,7.77
,,6.91,27.81,644.07,376.74,1.41,84.76,10.73,26.78,8.93,5.58,262.94,75.71,13.55
,,9.09,28.10,446.68,395.34,5.93,6.78,18.72,23.61,12.77,10.20,372.86,72.73,5.87
,,8.72,27.56,562.49,221.86,10.90,62.10,56.28,16.52,8.26,24.29,234.69,36.92,4.53
,,6.44,28.84,773.76,309.43,6.36,54.66,67.14,33.95,5.26,39.23,102.51,76.06,0.59
,,7.91,25.78,759.71,401.43,4.99,109.10,27.24,18.01,13.55,30.02,105.15,57.27,8.54
,,6.50,27.37,476.86,297.54,11.18,55.01,15.21,25.60,13.40,19.15,354.10,21.50,16.92
,,6.50,29.93,687.47,374.06,0.84,101.86,5.16,0.35,6.99,1.98,380.25,12.30,17.90
,,6.74,30.02,347.96,240.79,3.33,4.73,15.01,8.58,8.25,39.60,140.40,76.31,11.37
,,8.11,26.89,388.48,217.34,4.03,42.43,19.38,27.06,11.35,20.92,135.05,18.77,7.71
,,8.99,27.65,768.98,225.42,5.85,83.10,31.41,10.18,4.12,20.95,142.42,26.58,11.73
,,7.18,29.47,641.24,261.28,2.12,81.41,18.97,32.27,4.63,0.94,146.09,58.62,8.97
,,7.84,26.97,788.64,392.64,1.88,32.81,52.59,17.82,0.38,27.14,308.36,62.56,3.72
,,8.17,27.56,421.90,204.57,3.05,48.59,9.21,12.63,6.66,23.68,234.82,19.78,7.08
,,6.57,28.78,787.01,256.78,6.77,18.21,20.76,20.78,6.59,19.54,276.24,24.34,17.63
,,9.18,28.91,716.53,192.51,3.67,62.16,55.85,31.54,4.17,35.72,67.06,22.36,15.10
,,6.87,25.46,754.74,344.45,8.87,31.78,42.35,35.24,14.52,11.06,141.95,15.92,13.53
,,7.41,27.42,778.34,286.63,11.29,114.02,16.95,19.31,14.66,2.40,387.32,55.92,13.65
,,8.29,26.55,578.19,306.32,8.43,51.14,0.68,31.39,7.97,32.52,109.09,59.04,8.37
,,6.53,26.72,659.79,331.48,1.75,33.87,21.88,34.37,10.08,31.34,157.53,33.75,9.75
,,9.05,26.77,454.29,214.96,3.46,91.17,17.36,10.83,14.54,17.65,116.04,39.14,12.98
,,8.94,27.89,730.31,224.32,0.80,77.34,30.51,12.61,9.07,19.43,120.17,61.75,18.03
,,6.84,27.08,697.20,197.84,2.81,21.92,6.14,36.55,11.71,6.18,246.15,37.05,5.27
,,9.17,26.43,679.94,272.17,2.88,67.42,4.51,9.00,13.22,8.64,228.88,41.78,7.18
,,8.52,25.86,333.19,389.02,2.01,33.35,35.76,34.35,12.02,35.80,283.54,33.46,15.56
,,8.00,29.83,442.21,359.35,2.64,114.80,57.42,20.30,6.04,38.75,328.79,28.66,1.33
,,8.35,29.27,455.28,271.21,9.96,95.67,65.51,41.95,10.94,23.06,287.69,67.68,8.83
,,8.88,26.81,725.09,213.59,6.18,16.33,45.09,20.40,1.91,35.81,194.62,33.13,18.89
,,8.72,26.24,477.66,227.89,4.83,85.34,53.40,14.97,11.84,38.77,255.14,57.77,12.71
,,8.18,26.06,377.98,290.00,3.92,66.53,36.50,28.25,9.56,9.18,112.09,3.36,9.30
,,8.94,29.79,617.79,352.38,6.00,99.45,18.17,39.02,13.76,5.31,329.48,68.05,16.95
,,6.78,28.80,456.76,218.61,4.74,106.33,38.10,15.78,4.39,14.39,309.98,21.14,19.42
,,8.37,27.75,792.22,239.66,7.33,51.39,11.59,37.53,3.65,39.24,252.99,45.71,17.83
,,7.59,25.90,412.82,294.73,4.68,88.74,41.71,40.09,5.12,9.21,189.91,57.86,18.69
,,7.58,28.92,709.17,293.99,5.37,50.32,66.61,37.98,1.31,20.47,387.61,3.62,19.18
,,6.52,28.08,334.49,214.79,8.54,51.27,50.76,39.52,4.84,41.82,170.00,90.66,18.02
,,6.48,29.35,533.77,319.08,10.69,34.92,5.36,21.45,10.00,27.48,356.94,57.43,16.39
,,7.53,28.01,351.94,255.58,10.25,41.65,61.47,22.56,6.04,3.36,200.60,28.34,7.64
,,6.83,29.08,789.11,206.19,10.91,47.33,40.75,14.40,3.53,0.76,384.52,63.04,17.68
,,6.83,26.33,473.70,378.93,2.97,91.48,12.88,32.88,1.02,18.46,156.15,38.99,5.94
,,7.04,26.44,355.50,308.87,3.68,53.91,56.07,42.62,2.14,2.25,267.19,26.79,7.04
,,7.92,30.01,556.45,200.72,2.35,92.72,1.97,16.21,6.34,36.63,306.70,43.65,4.25
,,9.30,26.99,334.72,329.78,5.98,87.62,11.09,2.01,12.17,2.91,234.35,77.02,5.63
,,7.31,28.03,398.48,298.12,4.26,108.10,43.63,6.31,9.91,34.94,367.59,14.44,11.93
,,9.21,25.28,574.09,281.99,4.67,71.43,38.10,41.00,12.11,7.61,117.26,92.10,0.81
,,7.01,28.73,440.48,278.41,10.99,48.91,30.95,28.11,12.71,26.64,242.67,8.14,15.34
,,7.08,27.74,481.06,233.16,4.43,89.59,54.41,20.12,0.49,39.62,313.52,76.34,1.36
,,8.93,28.80,780.82,211.96,1.24,17.98,19.29,32.86,6.36,15.84,309.52,33.85,16.83
,,8.23,26.62,705.41,342.36,4.37,43.16,52.92,26.95,5.79,27.84,403.35,58.80,18.26
,,7.31,30.02,338.14,332.89,3.31,35.59,39.54,1.83,11.03,32.17,398.58,61.65,6.79
,,8.81,29.38,635.14,221.22,10.46,118.01,56.22,17.70,2.37,13.95,139.22,60.98,15.89
,,6.74,29.75,757.54,304.14,2.22,47.69,43.62,26.87,8.78,30.12,240.60,75.05,12.25
,,6.66,29.57,421.21,381.89,3.87,57.58,3.59,4.64,11.79,31.37,320.34,26.16,4.52
,,7.31,28.51,679.37,380.04,9.15,34.63,18.18,0.26,0.68,30.14,374.68,48.61,19.19
,,8.31,25.39,669.03,198.21,7.70,110.23,22.14,12.96,13.92,9.51,249.13,68.51,14.69
,,8.62,29.91,710.16,250.27,2.74,66.10,17.14,1.54,12.82,26.16,350.52,39.97,11.81
,,8.02,29.40,605.53,307.01,10.10,77.78,16.22,20.34,3.93,28.44,197.23,64.83,14.67
,,9.44,25.92,597.00,243.33,10.06,88.96,10.52,26.84,6.96,28.64,139.30,23.91,10.23
,,7.49,29.72,642.94,267.78,5.89,92.32,19.79,1.75,12.67,24.63,71.82,86.75,12.25
,,7.86,27.76,518.02,295.83,2.93,12.61,6.87,11.86,5.08,4.39,103.10,79.67,16.70
,,7.68,27.82,499.43,404.77,1.22,86.09,7.76,36.79,13.73,17.35,360.76,39.34,1.63
,,7.54,25.66,406.71,388.11,3.15,55.45,66.56,26.62,12.21,28.41,267.59,69.36,5.52
,,8.67,29.03,649.78,399.35,4.25,110.29,47.23,6.71,2.23,36.13,148.19,60.28,3.27
,,9.44,30.09,587.66,192.40,8.40,43.25,1.32,34.67,0.70,13.95,320.61,55.46,4.25
,,7.45,29.05,564.34,216.89,8.79,50.55,3.89,3.70,10.16,2.68,304.19,21.37,12.00
,,8.71,28.21,658.63,376.99,2.58,53.03,19.54,30.32,8.69,41.36,82.73,32.17,13.94
,,8.25,27.25,305.69,378.24,0.61,94.02,49.25,5.58,6.11,23.87,192.59,49.59,10.87
,,7.60,26.85,273.51,331.42,7.09,90.41,34.61,28.62,8.58,19.99,239.12,33.10,11.16
,,9.41,26.40,760.42,376.71,2.35,46.91,35.43,10.53,11.07,1.85,168.88,41.45,4.90
,,9.26,27.32,551.84,192.65,10.83,29.82,2.81,41.45,10.88,32.90,236.71,71.06,12.65
,,7.14,26.44,392.05,197.21,0.56,118.23,12.28,34.12,6.60,27.15,59.88,88.93,15.63
,,8.58,29.55,289.62,237.30,2.84,107.22,31.71,25.00,6.91,41.94,382.36,39.09,6.83
,,9.12,30.06,774.11,235.46,10.35,5.86,19.34,37.91,3.07,18.59,66.11,83.34,0.72
,,8.81,27.35,560.83,287.88,11.19,74.58,33.28,14.58,7.90,15.44,146.88,83.59,0.89
,,9.20,28.09,266.18,302.46,4.63,64.58,59.54,31.38,4.78,26.43,222.07,42.83,18.89
,,7.87,25.90,625.36,246.39,8.85,50.42,8.38,17.26,4.26,14.16,211.43,67.65,12.92
,,8.35,28.06,631.64,336.97,5.68,81.59,65.68,12.78,7.08,14.56,231.96,46.41,17.54
,,9.31,28.59,374.89,247.55,6.41,12.55,9.79,23.60,9.67,27.36,165.14,72.85,5.71
,,8.08,29.31,358.65,188.76,7.17,50.01,53.04,1.73,12.87,40.65,317.28,40.09,0.12
,,9.50,26.68,711.51,327.23,3.02,72.39,19.83,41.53,6.50,38.04,75.98,92.16,16.55
,,8.12,25.73,793.37,201.75,3.64,50.27,38.52,1.37,12.22,37.49,289.17,55.59,5.92
,,7.02,27.92,721.00,359.30,11.01,8.84,55.17,19.69,5.92,12.63,239.13,87.75,12.60
,,8.26,26.59,619.37,395.54,2.01,40.04,44.38,11.39,12.18,40.75,268.69,54.03,13.73
,,9.38,27.09,371.07,209.78,0.87,86.72,35.44,34.63,13.05,11.47,139.68,54.37,5.32
,,8.56,27.26,541.12,367.50,7.54,93.30,15.10,10.12,13.95,37.62,143.75,3.31,2.75
,,7.37,28.35,746.72,344.77,0.63,5.40,24.79,3.50,9.20,23.62,389.26,7.41,17.53
,,8.42,25.90,773.42,302.64,4.48,67.81,13.85,15.05,6.29,4.16,372.71,88.76,16.56
,,7.86,27.29,786.80,401.27,5.17,63.16,27.96,29.54,1.10,35.58,351.42,77.57,5.58
,,9.03,28.58,795.68,199.74,1.97,88.26,40.21,22.18,6.70,34.64,304.50,15.50,14.23
,,7.23,27.95,546.32,300.25,10.75,43.60,59.68,16.89,5.79,6.73,318.59,14.79,0.26
,,6.44,27.40,542.54,219.53,6.99,15.15,9.67,35.90,1.24,9.30,74.82,2.50,2.34
,,7.89,25.53,793.42,301.98,1.38,8.11,29.12,1.16,3.81,13.17,253.70,24.35,16.02
,,8.81,27.30,574.84,195.52,3.71,114.55,49.22,40.67,12.78,41.76,71.42,63.16,14.04
,,7.14,28.75,732.67,391.25,6.68,57.02,61.92,22.38,14.60,31.23,151.93,33.22,11.65
,,7.61,26.11,281.98,212.12,3.97,117.31,27.40,10.05,6.28,36.07,200.88,89.24,13.02
,,8.65,30.10,546.16,227.67,1.12,37.39,46.09,9.24,6.61,41.14,216.85,7.97,18.76
,,9.46,25.65,667.72,354.74,4.23,47.09,41.17,22.31,14.06,12.78,363.07,51.32,5.27
,,6.45,29.12,623.46,386.73,6.36,118.17,4.15,3.77,4.15,35.60,289.50,85.18,14.24
,,8.48,29.84,281.72,377.41,11.35,116.24,11.33,18.27,4.21,2.07,303.11,70.15,5.12
,,7.60,27.96,406.67,368.10,3.17,36.24,21.58,42.18,4.68,39.24,96.10,72.38,15.65
,,7.56,27.44,514.12,302.08,7.05,83.46,61.04,31.88,1.05,32.07,393.37,25.21,3.81
,,8.54,27.28,392.26,307.66,5.52,34.22,9.31,36.00,11.27,36.76,322.02,4.97,3.50
,,7.46,29.04,436.26,302.11,7.38,32.72,31.57,9.78,11.24,5.02,192.58,43.77,16.39
,,8.47,27.49,281.41,370.44,9.85,23.49,30.65,22.47,7.82,28.52,184.49,77.98,4.13
,,8.53,28.48,330.52,333.30,7.85,54.63,64.39,33.48,5.26,7.06,112.00,57.00,7.06
,,8.66,25.35,788.79,326.30,9.26,94.09,67.96,36.58,9.39,9.89,360.23,27.39,1.83
,,6.76,28.10,437.50,329.13,3.26,117.13,62.08,30.35,5.69,25.58,264.49,75.47,9.51
,,9.19,26.31,576.90,361.02,11.25,95.45,54.10,41.75,14.46,32.14,171.19,79.58,15.22
,,7.75,29.28,291.91,364.77,9.15,40.97,25.19,19.14,1.00,18.70,315.66,23.59,11.59
,,9.44,29.97,624.21,221.83,3.40,100.07,54.09,14.31,6.03,4.61,391.46,30.82,0.98
,,8.71,29.47,528.15,259.41,0.72,87.41,12.26,35.57,4.12,0.99,369.00,27.99,2.60
,,6.94,29.24,610.29,245.16,10.59,62.14,26.23,42.00,1.79,3.13,271.30,9.00,3.59
,,8.45,26.80,665.61,229.58,6.60,29.19,58.28,13.28,12.40,6.45,91.22,91.25,14.62
,,7.91,29.15,275.12,346.61,3.50,102.60,32.91,17.96,3.34,40.32,62.64,47.42,6.72
,,7.38,26.47,479.25,326.52,1.88,39.42,13.88,15.52,10.44,21.45,340.22,7.73,19.00
,,9.38,25.68,455.12,233.09,9.90,47.38,33.61,3.44,5.41,8.99,71.26,54.56,10.83
,,8.24,29.94,652.10,239.48,6.01,114.28,33.49,23.79,12.41,20.37,154.68,21.91,17.82
,,9.22,29.91,534.23,230.70,7.39,30.57,5.69,35.30,5.69,34.33,326.79,35.34,15.10
,,7.16,26.90,657.09,343.59,8.96,50.30,31.27,15.75,1.28,11.10,218.31,62.05,2.58
,,8.02,26.10,490.14,368.72,6.27,41.80,28.98,16.21,2.64,2.47,302.70,26.31,15.64
,,9.24,26.54,265.37,307.91,6.22,47.98,54.54,3.44,2.42,4.91,386.29,50.58,10.08
,,8.61,25.86,527.78,314.75,4.97,89.47,62.07,9.56,13.31,34.78,125.78,31.13,1.37
,,6.91,28.37,333.65,403.90,4.04,84.47,54.42,32.58,14.27,20.08,78.71,23.97,0.39
,,6.56,29.37,578.03,288.67,10.56,72.15,57.11,22.68,2.70,33.52,357.75,73.29,7.75
,,6.58,25.98,382.17,198.19,3.43,11.90,37.54,28.57,9.86,26.98,305.94,5.58,3.09
,,8.77,27.28,736.27,235.76,7.21,16.85,33.75,9.96,6.64,19.33,389.40,7.04,17.65
,,7.24,25.70,673.74,296.66,6.47,36.58,25.14,16.70,8.53,17.38,328.24,46.53,2.81
,,8.89,25.89,333.40,254.87,10.83,53.43,66.35,33.45,1.94,38.66,73.72,32.72,10.12
,,7.07,27.46,424.26,300.74,5.33,24.00,3.07,16.45,8.23,18.47,161.72,5.53,17.75
,,9.29,29.93,465.99,299.22,5.40,85.09,51.89,20.34,12.51,38.06,350.77,72.93,1.15
,,7.05,27.35,422.33,246.40,0.18,92.97,52.36,3.14,9.15,35.35,383.30,16.74,12.06
,,8.02,28.60,635.65,233.00,10.02,82.79,18.55,5.51,5.85,39.36,85.13,40.56,8.80
,,7.01,27.33,465.97,241.65,7.19,44.42,61.34,13.84,2.20,39.64,283.97,77.39,12.53
,,8.50,26.64,766.49,323.73,8.14,102.48,27.12,38.48,10.32,34.00,108.18,27.12,13.64
,,6.66,27.98,427.44,278.00,6.89,83.98,32.52,2.53,9.37,10.76,332.16,36.70,19.37
,,8.38,27.11,287.92,295.04,4.79,105.67,16.45,24.03,1.39,33.71,175.23,18.23,9.68
,,6.56,26.13,790.47,335.61,9.17,48.72,24.82,16.03,0.56,16.40,64.01,89.03,18.44
,,6.84,26.24,550.88,359.37,2.61,93.37,12.53,32.42,7.40,20.72,155.77,63.00,10.99
,,8.82,25.31,300.04,275.31,2.94,14.24,18.58,18.79,14.34,31.06,318.45,63.41,19.26
,,7.67,25.21,768.25,339.04,6.55,43.25,33.19,34.72,8.87,4.49,265.21,30.30,5.15
,,6.67,27.36,514.34,280.33,9.05,11.75,59.54,40.29,5.97,21.13,365.01,72.95,13.97
,,6.44,30.07,722.24,199.06,5.37,88.36,29.00,37.76,3.55,16.15,223.92,15.41,15.93
,,9.32,29.19,591.13,264.80,5.91,62.21,42.65,11.23,2.23,31.63,104.77,41.94,9.22
,,7.16,27.85,553.34,220.57,2.52,92.56,48.71,15.24,11.32,40.50,241.25,44.49,16.49
,,8.45,27.89,660.28,274.93,7.28,81.28,10.41,22.08,8.07,1.82,216.12,42.33,2.37
,,8.96,26.79,383.87,206.97,8.75,6.87,4.70,7.53,5.33,10.36,356.04,59.80,7.00
,,7.52,28.52,687.68,312.79,6.70,36.05,68.40,37.18,9.79,30.99,276.01,29.60,17.56
,,8.46,26.42,663.93,214.53,10.71,76.39,57.02,2.51,6.85,8.65,343.27,88.68,7.63
,,9.34,29.32,513.72,365.80,10.75,8.86,1.25,31.24,9.94,22.43,353.78,34.00,17.76
,,9.23,25.75,398.66,260.82,7.87,8.20,28.03,28.62,6.40,15.03,90.41,33.79,2.96
,,7.47,27.25,323.81,291.65,9.52,55.25,40.17,25.10,3.62,21.97,232.48,18.16,1.44
,,9.39,28.97,501.96,382.89,4.95,63.66,53.69,22.06,0.70,12.58,374.57,37.73,6.37
,,9.09,27.41,447.10,337.61,4.03,36.45,34.60,38.24,3.68,8.98,138.87,52.47,1.04
,,8.27,25.54,533.99,295.82,10.23,42.75,26.92,6.40,6.76,34.75,182.34,81.16,10.57
,,8.57,29.50,560.55,344.04,10.03,25.28,44.64,33.32,8.66,12.35,259.40,4.00,14.28
,,8.01,25.61,457.64,307.36,5.96,3.33,59.04,41.87,1.02,11.63,162.92,86.24,3.48
,,8.48,27.38,636.89,339.29,5.52,112.32,20.84,38.15,2.31,38.53,117.77,71.42,5.75
,,9.08,28.98,357.19,205.80,4.10,73.77,49.76,6.70,8.45,41.52,269.62,31.38,8.53
,,9.35,26.62,539.59,190.32,5.16,62.34,16.30,26.11,4.69,15.18,193.80,6.80,18.06
,,9.19,25.94,355.68,238.57,11.39,44.11,64.58,5.75,2.18,21.94,67.38,13.10,8.00
,,7.77,27.64,645.22,224.86,4.55,24.95,51.14,38.08,8.33,40.68,353.34,62.18,15.90
,,7.84,28.26,650.98,296.87,4.03,108.72,5.33,4.57,13.63,11.60,189.21,92.25,4.98
,,9.10,29.06,334.47,255.96,4.12,24.31,12.61,18.39,3.38,7.88,267.58,15.44,18.21
,,8.36,26.68,284.60,330.57,4.24,118.98,50.75,13.92,0.76,10.87,353.35,40.86,11.46
